feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
C8p_QI10754	diagnosis	CD	-5.45231727942795	1.71781443165346	388	210	0.00199618079753895	0.00941594715820259
HILp_QI13680	diagnosis	CD	4.86197140218421	1.54279008837714	388	145	0.00216256062092322	0.0101528667648978
HILp_QI20983	diagnosis	CD	4.5254843916002	1.43889277445612	388	247	0.00220957590735938	0.010325121062427
HILp_QI22689	diagnosis	CD	-5.74302261325562	1.83110413627079	388	303	0.00224631666381421	0.0104479844828568
C18n_QI3804	diagnosis	CD	4.76241067650333	1.52368212222645	388	291	0.00234073328945284	0.0108367281919113
HILp_QI24228	diagnosis	CD	-4.77371812441637	1.53323698212252	388	226	0.00240626557574897	0.0110887814550644
HILp_QI14988	diagnosis	CD	4.9873063370046	1.60453493754588	388	121	0.00247118287493292	0.0112696823760413
HILp_QI10806	diagnosis	UC	5.3920999435995	1.73588221175172	388	231	0.00247493449941868	0.0112696823760413
HILn_QI1323	diagnosis	CD	4.88859688652413	1.57425445528444	388	142	0.00247933012272909	0.0112696823760413
C18n_QI9052	diagnosis	CD	-5.74203989382833	1.85610643015611	388	258	0.0025638255709032	0.0116010206828199
HILp_QI22455	diagnosis	UC	5.93097969868585	1.91890480684004	388	279	0.00257667223141329	0.0116066316730328
C18n_QI1744	diagnosis	CD	4.73252180095761	1.53779275299105	388	217	0.00271045844873809	0.0121545221916506
HILp_QI25304	diagnosis	UC	5.24357369413482	1.71655856494663	388	193	0.00288272196527477	0.0128555790671518
C18n_QI13593	diagnosis	UC	-5.63738045003062	1.84649521605868	388	203	0.00289250529010915	0.0128555790671518
HILp_QI14363	diagnosis	UC	5.01326673865953	1.64220676075382	388	261	0.00291564968922938	0.012901104819599
HILp_QI15737	diagnosis	CD	4.96346468564481	1.62928211302873	388	310	0.00300413645693377	0.0131299515605064
HILp_QI17886	diagnosis	CD	5.01319313346707	1.64561948818817	388	164	0.00298416647124775	0.0131299515605064
HILp_QI22234	diagnosis	CD	-5.56077638360876	1.82896553762707	388	300	0.00300675890735598	0.0131299515605064
HILp_QI22740	diagnosis	UC	-5.84200509539583	1.92429262510745	388	208	0.00304474602904686	0.0131807187404626
HILn_QI10169	diagnosis	CD	4.67261606336077	1.53709952051919	388	185	0.00303960138518609	0.0131807187404626
HILp_QI13199	diagnosis	CD	4.98589623701077	1.64482460168651	388	122	0.00311630756514546	0.0133175536972028
C8p_QI18724	diagnosis	CD	-4.65672093079292	1.53595443625496	388	220	0.00309646761100867	0.0133175536972028
C18n_QI2510	diagnosis	CD	4.7485979767783	1.56578441351878	388	142	0.00310552349875044	0.0133175536972028
HILp_QI9316	diagnosis	CD	4.76696901759577	1.57518482277379	388	120	0.00316641316021492	0.013474098554106
HILn_QI803	diagnosis	UC	5.62547377022436	1.86823038525958	388	161	0.00332906340301009	0.0141062008602122
HILp_QI25298	diagnosis	UC	4.94922998494932	1.6533838730537	388	186	0.00347011658519367	0.0146418421316189
HILp_QI22234	diagnosis	UC	-6.05656703646529	2.02910291188439	388	300	0.00354369640843722	0.0148894807077194
